Make,Model,Year,Km,Transmission,Fuel,Price
Chery,Arrizo 5,2020,"77,000",automatic,gas,"355,000"
Hyundai,Accent RB,2017,"95,000",automatic,gas,"400,000"
Kia,Cerato,2016,"106,000",automatic,gas,"415,000"
Chrysler,300,2006,"155,000",automatic,gas,"650,000"
Dodge,Charger,2010,"80,000",automatic,gas,"800,000"
Jeep,Grand Cherokee,2019,"60,000",automatic,gas,"2,100,000"
Nissan,Sunny,2023,"1,800",automatic,gas,"448,000"
Opel,Crossland,2022,"29,000",automatic,gas,"760,000"
Haval,Jolion,2022,"25,000",automatic,gas,"690,000"
Chevrolet,T-Series,2022,"26,000",manual,diesel,"520,000"
Mercedes,230,1976,"40,000",manual,gas,"55,000"
Peugeot,307,2007,"173,000",automatic,gas,"200,000"
Skoda,Fantasia,2009,"152,000",automatic,gas,"330,000"
Speranza,A516,2009,"10,000,000",automatic,gas,"107,000"
Isuzu,D max,2019,127,manual,diesel,"600,000"
Nissan,Sentra,2018,45,automatic,gas,450
Toyota,Avensis,2007,"19,999",manual,gas,"225,000"
Hyundai,Elantra MD,2013,"165,000",automatic,gas,"335,000"
Kia,Pegas,2020,"305,000",automatic,gas,"290,000"
Fiat,Tipo,2018,"145,000",automatic,gas,"395,000"
Renault,Logan,2020,"62,000",manual,gas,"340,000"
Mitsubishi,Pajero,1990,"150,000",manual,gas,"145,000"
Nissan,Sunny,2008,"159,000",automatic,gas,"210,000"
Opel,Crossland,2021,"52,000",automatic,gas,"1,000"
Lada,2110,2007,"240,000",manual,gas,"90,000"
MG,3,2013,"83,000",automatic,gas,"270,000"
Mercedes,CLA 220,2021,"32,000",automatic,gas,"1,600,000"
Hyundai,Atos,2008,"112,000",manual,gas,"129,000"
Jeep,Renegade,2016,"163,000",automatic,gas,"536,000"
Fiat,127,1983,"70,000",manual,gas,"35,000"
Toyota,Corolla,2014,"122,000",automatic,gas,"510,000"
Peugeot,504,1977,"200,000",manual,gas,"40,000"
Volkswagen,Passat,2011,"180,000",automatic,gas,"430,000"
Hyundai,Matrix,2008,"142,000",automatic,gas,"200,000"
Hyundai,Elantra MD,2016,"166,000",automatic,gas,"385,000"
Kia,Sportage,2019,"105,000",automatic,gas,"8,000,050"
Nissan,Tiida,2008,"122,500",automatic,gas,"250,000"
Kia,Pride,2004,"1,300",manual,gas,"50,000"
Chery,Tiggo 7 pro,2022,"31,500",automatic,gas,"740,000"
Renault,Logan,2011,240,manual,gas,160
BMW,520,2020,"170,000",automatic,gas,"1,750,000"
Volkswagen,Golf 7,2017,"135,000",automatic,gas,"625,000"
MG,Rx5,2021,"9,000",automatic,gas,"679,000"
Speranza,Tiggo,2018,"99,000",automatic,gas,"299,000"
Hyundai,I10,2015,"90,000",automatic,gas,"259,000"
Nissan,Sunny,2013,"99,000",automatic,gas,"289,000"
Chevrolet,Lanos,2019,"55,000",manual,gas,"260,000"
Kia,Sportage,2020,"60,000",automatic,gas,"890,000"
Nissan,Sentra,2017,"125,000",automatic,gas,"370,000"
Hyundai,Elantra,2011,"175,000",automatic,gas,"268,000"
Audi,A3,2010,"250,000",automatic,gas,"333,333"
Chery,Arrizo 5,2020,"77,000",automatic,gas,"355,000"
Kia,Sportage,2017,"120,000",automatic,gas,"750,000"
Byd,F3,2019,"197,000",automatic,gas,"200,000"
Hyundai,Verna,2016,"162,000",manual,gas,"250,000"
Volkswagen,Polo,1999,"290,000",manual,gas,"80,000"
Toyota,Avensis,2005,"250,000",manual,gas,"250,000"
Nissan,Sunny,2009,"150,000",automatic,gas,"210,000"
Mitsubishi,Lancer Puma,2007,"124,000",automatic,gas,"325,000"
Mitsubishi,Lancer Puma,2014,"200,000",automatic,gas,"230,000"
Peugeot,301,2020,"60,000",automatic,gas,"440,000"
Skoda,Octavia,2021,"8,600",automatic,gas,"1,100,000"
Ford,Focus,2010,"227,000",automatic,gas,"255,000"
Opel,Astra,2020,"98,000",automatic,gas,"498,000"
Opel,Vectra,1995,0,manual,gas,"75,000"
Toyota,Corolla,2016,"180,000",automatic,gas,"590,000"
Ford,Escort,1999,0,manual,gas,"70,000"
Brilliance,FSV,2010,"340,000",automatic,gas,"130,000"
Lada,Granta,2017,"140,000",manual,gas,"165,000"
BMW,318,2005,"180,000",automatic,gas,"350,000"
Renault,Fluence,2010,"140,000",automatic,gas,"265,000"
Peugeot,208,2013,"71,000",automatic,gas,"260,000"
Renault,Megane,2005,"130,000",automatic,gas,"175,000"
Daewoo,Lanos 2,2008,"290,000",manual,gas,"130,000"
MG,5,2022,"15,000",automatic,gas,"480,000"
Suzuki,Van,2022,"15,000",manual,gas,"250,000"
Hyundai,Elantra AD,2020,"28,000",automatic,gas,"650,000"
Chevrolet,Sonic,2012,"137,000",automatic,gas,"270,000"
Lada,2105,1994,"50,000",manual,gas,"40,000"
Volkswagen,Golf,2019,"78,000",automatic,gas,"875,000"
Chevrolet,Optra,2008,"141,000",automatic,gas,"208,000"
Nissan,Sunny,2020,"66,000",automatic,gas,"385,000"
Renault,Sandero Step Way,2019,"46,000",automatic,diesel,"400,000"
Skoda,Octavia A8,2021,"31,500",automatic,gas,"1,150,000"
Toyota,Corolla,2018,"85,000",automatic,gas,"730,000"
Jaguar,F-Pace,2018,"56,000",automatic,gas,"2,000,000"
Toyota,Corolla,2021,"66,000",automatic,gas,"725,000"
Nissan,Sunny,2023,"3,000",automatic,gas,"425,000"
Skoda,Octavia A8,2021,"33,000",automatic,gas,"950,000"
Chery,Tiggo 7 pro,2022,"35,000",automatic,gas,"750,000"
Mercedes,E 200,2020,"28,000",automatic,gas,"2,480,000"
Volkswagen,Jetta,2010,"175,000",automatic,gas,"430,000"
Speranza,M11,2010,"250,000",manual,gas,"115,000"
Kia,Sportage,2018,0,automatic,gas,0
Opel,Astra,2020,"60,000",automatic,gas,"550,000"
Lada,Granta,2016,"128,000",manual,gas,"195,000"
Hyundai,Accent RB,2021,"165,000",automatic,gas,"440,000"
Hyundai,Matrix,2003,"200,000",automatic,gas,"230,000"
Suzuki,Maruti,2008,"70,500",automatic,gas,"65,000"
Hyundai,Verna,2013,"120,000",automatic,gas,"230,000"
Opel,Vectra,2008,"128,000",automatic,gas,"255,000"
BMW,518,1984,0,manual,gas,"70,000"
Lifan,320,2013,"141,000",manual,gas,"95,000"
Skoda,Felicia,1995,0,manual,gas,"70,000"
Chevrolet,Optra,2010,"123,000",automatic,gas,"245,000"
Skoda,Octavia A5,2006,"12,000",automatic,gas,"325,000"
Kia,Ceed,2018,"80,000",automatic,gas,"625,000"
Renault,Logan,2017,"125,000",automatic,gas,"225,000"
Chevrolet,Cruze,2014,"113,000",automatic,gas,"300,000"
Hyundai,Elantra HD,2020,"71,000",automatic,gas,"455,000"
Daihatsu,SIRION,2008,"160,000",automatic,gas,"275,000"
Hyundai,Accent,2010,"198,000",manual,gas,"198,000"
Renault,Duster,2020,"69,000",automatic,gas,"625,000"
Hyundai,XD,2006,"320,000",automatic,gas,"250,000"
Opel,Astra,2005,"164,000",automatic,gas,"167,000"
Nissan,Sunny,2021,"66,000",manual,gas,"390,000"
Daewoo,Lacetti,2006,"100,000",automatic,gas,"260,000"
Renault,Duster,2019,"49,000",automatic,gas,"510,000"
Opel,Astra,2018,"110,000",automatic,gas,"440,000"
Chery,Arrizo 5,2021,"29,000",automatic,gas,"350,000"
Mercedes,E 200,2021,"15,000",automatic,gas,"3,250,000"
Kia,Carens,2015,"160,000",automatic,gas,"490,000"
Fiat,Tipo,2018,"184,000",automatic,gas,"415,000"
Hyundai,Elantra MD,2012,"155,000",automatic,gas,"360,000"
Skoda,Rapid,2015,"165,000",automatic,gas,"390,000"
Toyota,Corolla,2008,"240,000",automatic,gas,"315,000"
Citroën,C6,2007,"230,000",automatic,gas,"375,000"
Mercedes,E 200,2021,"24,000",automatic,gas,"2,950,000"
Volkswagen,Passat,2021,"20,000",automatic,gas,"1,290,000"
Chery,Tiggo 3,2022,"22,000",automatic,gas,"475,000"
Mazda,929,1980,0,manual,gas,"35,000"
Hyundai,Elantra,2016,"67,000",automatic,gas,"420,000"
Jac,S2,2019,"60,000",automatic,gas,"360,000"
Byd,F3,2017,"155,000",manual,gas,"185,000"
Opel,Astra,2013,"80,000",automatic,gas,"450,000"
Chevrolet,Pickup,1999,"706,032",manual,diesel,"100,000"
Nissan,Sunny,2015,"96,000",automatic,gas,"330,000"
Alfa Romeo,Giulietta,2021,"90,000",automatic,gas,"770,000"
Kia,Pride,2002,"150,000",automatic,gas,"85,000"
Citroën,C3,2006,"191,000",manual,gas,"110,000"
Byd,F3,2015,0,manual,gas,"175,000"
Hyundai,Verna,2007,"103,000",manual,gas,"155,000"
Opel,Astra,2016,"100,000",automatic,gas,"450,000"
Nissan,Sunny,2022,"42,200",automatic,gas,"410,000"
Opel,Corsa,2016,"99,000",automatic,gas,"400,000"
Speranza,A213,2008,"194,000",manual,gas,"85,000"
Nissan,Sunny,2019,"70,000",automatic,gas,"370,000"
Fiat,128,1989,0,manual,gas,"13,000"
Renault,Sandero Step Way,2014,"90,000",manual,gas,"240,000"
Hyundai,Accent RB,2017,"121,000",automatic,gas,"360,000"
Fiat,Shahin,2008,"45,000",manual,natural gas,"70,000"
Daewoo,Nubira 1,1998,0,automatic,gas,"85,000"
Great Wall,Peri,2010,"255,000",manual,gas,"70,000"
Geely,X7,2019,"107,000",automatic,gas,"380,000"
Chevrolet,T-Series,1996,"180,000",manual,diesel,"90,000"
Lifan,320,2013,"140,000",manual,gas,"120,000"
Hyundai,Verna,2012,"175,000",manual,gas,"197,000"
Kia,Picanto,2012,"67,000",manual,gas,"230,000"
Nissan,Qashqai,2017,"110,000",automatic,gas,"525,000"
Daewoo,Lacetti,2002,"120,000",automatic,gas,"220,000"
Byd,F3,2021,"65,000",manual,gas,"269,000"
Mercedes,C 300,2022,0,automatic,gas,"3,250,000"
Hyundai,Creta SU2 || Creta,2021,"17,000",automatic,gas,"810,000"
BMW,116,2014,"220,000",automatic,gas,"485,000"
Geely,Okavango,2022,"22,000",automatic,gas,"850,000"
